CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     4926          618325        69565986         2283659       100339210 branches
 -1     4926           42840        69592785         4445167       100339210 branch-misses
 -1     4926           77349        69600922         8437156       100339210 cache-references
 -1     4926           31144        69611979        12429334       100339210 cache-misses
 -1     4926        29765518        69616588        14137611       100339210 cycles
 -1     4926        77656326        69633013        18138822       100339210 instructions
 -1     4926           25836        69637898        19970120       100339210 L1-dcache-load-misses
 -1     4926        22496760        69642075        19976852       100339210 L1-dcache-loads
 -1     4926            1853        69650857        19978693       100339210 L1-dcache-prefetch-misses
 -1     4926            9979        69656943        19985627       100339210 L1-dcache-prefetches
 -1     4926            6283        69661186        15985953       100339210 L1-dcache-store-misses
 -1     4926        12107850        69665405        15986221       100339210 L1-dcache-stores
 -1     4926           32760        69669370        15986014       100339210 L1-icache-load-misses
 -1     4926        29648110        69673061        15986063       100339210 L1-icache-loads
 -1     4926            3732        69681699        15986183       100339210 LLC-load-misses
 -1     4926            6047        69685902        15986718       100339210 LLC-loads
 -1     4926            2097        69689759        15986179       100339210 dTLB-load-misses
 -1     4926        18022076        69693514        15979494       100339210 dTLB-loads
 -1     4926             160        69704351        13316928       100339210 dTLB-store-misses
 -1     4926         7031612        69711349         9324402       100339210 dTLB-stores
 -1     4926              97        69717323         5337103       100339210 iTLB-load-misses
 -1     4926         6221660        69722825         1350371       100339210 iTLB-loads
 -1     4926               0        69732486               0       100339210 branch-load-misses
 -1     4926               0        69736595               0       100339210 branch-loads
 -1     4926               0        69740225               0       100339210 mem-loads
 -1     4926               0        69743832               0       100339210 stalled-cycles-backend
 -1     4926               0        69752338               0       100339210 stalled-cycles-frontend
 -1     4926        18020772       167511514        19414336       201191889 branches
 -1     4926          215993       167525158        21576094       201191889 branch-misses
 -1     4926          102303       167531811        25566069       201191889 cache-references
 -1     4926           43333       167537709        29550107       201191889 cache-misses
 -1     4926        63644461       167543431        30121685       201191889 cycles
 -1     4926       161111153       167548801        38115725       201191889 instructions
 -1     4926           58940       167552694        39940361       201191889 L1-dcache-load-misses
 -1     4926        41232127       167556316        39946355       201191889 L1-dcache-loads
 -1     4926            4017       167560040        39957853       201191889 L1-dcache-prefetch-misses
 -1     4926           29070       167563613        39956206       201191889 L1-dcache-prefetches
 -1     4926           25871       167567053        31965714       201191889 L1-dcache-store-misses
 -1     4926        21162646       167570655        31973567       201191889 L1-dcache-stores
 -1     4926          185211       167574190        31965454       201191889 L1-icache-load-misses
 -1     4926        55363312       167577692        31966266       201191889 L1-icache-loads
 -1     4926            9138       167581309        31963680       201191889 LLC-load-misses
 -1     4926           15259       167587713        30152953       201191889 LLC-loads
 -1     4926            5130       167594166        26166051       201191889 dTLB-load-misses
 -1     4926        23581969       167599595        22171663       201191889 dTLB-loads
 -1     4926             289       167605358        18191791       201191889 dTLB-store-misses
 -1     4926        12052203       167609993        15978695       201191889 dTLB-stores
 -1     4926             268       167613694        15984264       201191889 iTLB-load-misses
 -1     4926        73741145       167617307        15986124       201191889 iTLB-loads
 -1     4926         9589495       167620820        15976544       201191889 branch-load-misses
 -1     4926        17385725       167624478        15976251       201191889 branch-loads
 -1     4926               0       167627959        15976300       201191889 mem-loads
 -1     4926         2379066       167631672        15977138       201191889 stalled-cycles-backend
 -1     4926         4373085       167635256        15985311       201191889 stalled-cycles-frontend
 -1     4926        32777312       268212037        35393331       302037816 branches
 -1     4926          323029       268225909        37546569       302037816 branch-misses
 -1     4926          137927       268232445        41542634       302037816 cache-references
 -1     4926           61099       268238167        45534469       302037816 cache-misses
 -1     4926        97488729       268244122        46100144       302037816 cycles
 -1     4926       240447449       268249479        58084806       302037816 instructions
 -1     4926          108097       268253285        59919434       302037816 L1-dcache-load-misses
 -1     4926        58951210       268256960        59918754       302037816 L1-dcache-loads
 -1     4926            4017       268260629        59921549       302037816 L1-dcache-prefetch-misses
 -1     4926           71159       268264236        59925932       302037816 L1-dcache-prefetches
 -1     4926           43393       268267672        47943700       302037816 L1-dcache-store-misses
 -1     4926        29404765       268271430        47952081       302037816 L1-dcache-stores
 -1     4926          431003       268275078        47944771       302037816 L1-icache-load-misses
 -1     4926        79745491       268281513        46973231       302037816 L1-icache-loads
 -1     4926           12787       268287795        42976722       302037816 LLC-load-misses
 -1     4926           21702       268293486        38979997       302037816 LLC-loads
 -1     4926            7695       268299103        35000960       302037816 dTLB-load-misses
 -1     4926        32342874       268303704        31956093       302037816 dTLB-loads
 -1     4926             871       268307377        31963245       302037816 dTLB-store-misses
 -1     4926        20260247       268310984        31956586       302037816 dTLB-stores
 -1     4926             793       268314631        31960894       302037816 iTLB-load-misses
 -1     4926       137582504       268318065        31964920       302037816 iTLB-loads
 -1     4926        17986057       268321539        31954898       302037816 branch-load-misses
 -1     4926        32228847       268325086        31955573       302037816 branch-loads
 -1     4926               0       268328580        31955123       302037816 mem-loads
 -1     4926         5848518       268332137        31955723       302037816 stalled-cycles-backend
 -1     4926        10798499       268335723        31964564       302037816 stalled-cycles-frontend
 -1     4926        47603172       368959770        51371276       402960565 branches
 -1     4926          427142       368980285        53523697       402960565 branch-misses
 -1     4926          172537       368989879        57519411       402960565 cache-references
 -1     4926           79366       368997658        61511252       402960565 cache-misses
 -1     4926       131327154       369003984        62076583       402960565 cycles
 -1     4926       320485273       369010293        78054412       402960565 instructions
 -1     4926          157626       369016449        79889006       402960565 L1-dcache-load-misses
 -1     4926        76967201       369036719        79896628       402960565 L1-dcache-loads
 -1     4926            7830       369043881        79909748       402960565 L1-dcache-prefetch-misses
 -1     4926          100263       369050053        79918271       402960565 L1-dcache-prefetches
 -1     4926          300658       369055991        63948991       402960565 L1-dcache-store-misses
 -1     4926        35707368       369066008        63877092       402960565 L1-dcache-stores
 -1     4926          455079       369075115        59876965       402960565 L1-icache-load-misses
 -1     4926        83863428       369083812        55881501       402960565 L1-icache-loads
 -1     4926           15895       369092264        51888241       402960565 LLC-load-misses
 -1     4926           26927       369096906        47934342       402960565 LLC-loads
 -1     4926           11260       369100609        47943529       402960565 dTLB-load-misses
 -1     4926        46533765       369104311        47935206       402960565 dTLB-loads
 -1     4926            1496       369107795        47942758       402960565 dTLB-store-misses
 -1     4926        28502028       369111359        47932952       402960565 dTLB-stores
 -1     4926            1290       369115017        47935811       402960565 iTLB-load-misses
 -1     4926       201813372       369118493        47940699       402960565 iTLB-loads
 -1     4926        26362039       369122077        47922002       402960565 branch-load-misses
 -1     4926        47092829       369125613        47932321       402960565 branch-loads
 -1     4926               0       369129200        47932906       402960565 mem-loads
 -1     4926         9338010       369132912        47933538       402960565 stalled-cycles-backend
 -1     4926        17190047       369145237        47942473       402960565 stalled-cycles-frontend
 -1     4926        50270983       469883377        67371608       503869296 branches
 -1     4926          523310       469903908        69524330       503869296 branch-misses
 -1     4926          237538       469913652        73519430       503869296 cache-references
 -1     4926           91799       469921415        77511440       503869296 cache-misses
 -1     4926       165261780       469927577        78076076       503869296 cycles
 -1     4926       402703777       469933709        98053401       503869296 instructions
 -1     4926         1321260       469939778        99887536       503869296 L1-dcache-load-misses
 -1     4926        98706287       469945756        99895752       503869296 L1-dcache-loads
 -1     4926          184949       469951871        99908728       503869296 L1-dcache-prefetch-misses
 -1     4926          100263       469957783        99917376       503869296 L1-dcache-prefetches
 -1     4926          366244       469967236        76777926       503869296 L1-dcache-store-misses
 -1     4926        37885846       469976277        72795930       503869296 L1-dcache-stores
 -1     4926          468899       469984858        68797080       503869296 L1-icache-load-misses
 -1     4926        88884629       469993279        64803271       503869296 L1-icache-loads
 -1     4926           20016       470000810        63937496       503869296 LLC-load-misses
 -1     4926           45546       470006845        63928096       503869296 LLC-loads
 -1     4926           21865       470016181        63935683       503869296 dTLB-load-misses
 -1     4926        64049484       470019965        63924931       503869296 dTLB-loads
 -1     4926            2647       470023565        63941884       503869296 dTLB-store-misses
 -1     4926        32415772       470027104        63933238       503869296 dTLB-stores
 -1     4926            1799       470030700        63935266       503869296 iTLB-load-misses
 -1     4926       267555138       470034181        63939925       503869296 iTLB-loads
 -1     4926        28688214       470037702        63920897       503869296 branch-load-misses
 -1     4926        49751150       470041138        63931436       503869296 branch-loads
 -1     4926               0       470044693        63931722       503869296 mem-loads
 -1     4926        11279202       470048256        63932487       503869296 stalled-cycles-backend
 -1     4926        27837112       470051860        63942106       503869296 stalled-cycles-frontend
 -1     4926        52932286       570781386        83371281       604765868 branches
 -1     4926          618943       570801803        85523926       604765868 branch-misses
 -1     4926          298634       570811417        89519259       604765868 cache-references
 -1     4926          104259       570819053        93511121       604765868 cache-misses
 -1     4926       199199940       570825112        94075898       604765868 cycles
 -1     4926       484692859       570831207       118052836       604765868 instructions
 -1     4926         2532780       570837285       119887017       604765868 L1-dcache-load-misses
 -1     4926       120703471       570843297       119896162       604765868 L1-dcache-loads
 -1     4926          184949       570852441       117624875       604765868 L1-dcache-prefetch-misses
 -1     4926          100263       570861460       113642358       604765868 L1-dcache-prefetches
 -1     4926          412938       570869888        85683739       604765868 L1-dcache-store-misses
 -1     4926        40081793       570878323        81699126       604765868 L1-dcache-stores
 -1     4926          481083       570885332        79950555       604765868 L1-icache-load-misses
 -1     4926       110107496       570891347        79947938       604765868 L1-icache-loads
 -1     4926           21201       570897379        79936795       604765868 LLC-load-misses
 -1     4926           88116       570906755        79928358       604765868 LLC-loads
 -1     4926           26768       570910514        79935332       604765868 dTLB-load-misses
 -1     4926        81613321       570913966        79925485       604765868 dTLB-loads
 -1     4926            3989       570917578        79941736       604765868 dTLB-store-misses
 -1     4926        36333927       570921108        79932869       604765868 dTLB-stores
 -1     4926            2297       570924710        79933681       604765868 iTLB-load-misses
 -1     4926       333228249       570928259        79938324       604765868 iTLB-loads
 -1     4926        31070045       570931919        79920030       604765868 branch-load-misses
 -1     4926        52430574       570935454        79931090       604765868 branch-loads
 -1     4926               0       570938964        79932102       604765868 mem-loads
 -1     4926        13202508       570942501        79931635       604765868 stalled-cycles-backend
 -1     4926        38469081       570946161        79941420       604765868 stalled-cycles-frontend
 -1     4926        55657179       671690908        99370535       705686791 branches
 -1     4926          705747       671711202       101523674       705686791 branch-misses
 -1     4926          354880       671720850       105519499       705686791 cache-references
 -1     4926          117455       671728522       109511146       705686791 cache-misses
 -1     4926       233139835       671734691       110076272       705686791 cycles
 -1     4926       568690805       671740823       138052700       705686791 instructions
 -1     4926         3618138       671750782       138503714       705686791 L1-dcache-load-misses
 -1     4926       136985940       671759998       134521485       705686791 L1-dcache-loads
 -1     4926          184949       671768481       130543210       705686791 L1-dcache-prefetch-misses
 -1     4926          100263       671776776       126559734       705686791 L1-dcache-prefetches
 -1     4926          467200       671797204        95949934       705686791 L1-dcache-store-misses
 -1     4926        43595479       671804208        95954993       705686791 L1-dcache-stores
 -1     4926          491418       671810263        95949705       705686791 L1-icache-load-misses
 -1     4926       133041423       671818932        95947626       705686791 L1-icache-loads
 -1     4926           22352       671822562        95936389       705686791 LLC-load-misses
 -1     4926          113257       671826036        95929808       705686791 LLC-loads
 -1     4926           28958       671829479        95934148       705686791 dTLB-load-misses
 -1     4926        99583782       671833058        95924765       705686791 dTLB-loads
 -1     4926            4751       671836554        95940725       705686791 dTLB-store-misses
 -1     4926        40314271       671840130        95931305       705686791 dTLB-stores
 -1     4926            2512       671843733        95933837       705686791 iTLB-load-misses
 -1     4926       400276475       671847122        95938262       705686791 iTLB-loads
 -1     4926        33433152       671850575        95920500       705686791 branch-load-misses
 -1     4926        55113612       671854067        95931601       705686791 branch-loads
 -1     4926               0       671857620        95931950       705686791 mem-loads
 -1     4926        14831535       671861169        95930889       705686791 stalled-cycles-backend
 -1     4926        48846543       671864742        95940331       705686791 stalled-cycles-frontend
 -1     4926        58296019       772595224       115370808       806591240 branches
 -1     4926          802065       772615692       117523439       806591240 branch-misses
 -1     4926          409982       772625336       121519008       806591240 cache-references
 -1     4926          131529       772632988       125510834       806591240 cache-misses
 -1     4926       266036647       772642325       125586525       806591240 cycles
 -1     4926       633349726       772651658       153572286       806591240 instructions
 -1     4926         4377860       772659902       151415648       806591240 L1-dcache-load-misses
 -1     4926       151499086       772668190       147431081       806591240 L1-dcache-loads
 -1     4926          411078       772676519       143453158       806591240 L1-dcache-prefetch-misses
 -1     4926          100263       772683792       139916958       806591240 L1-dcache-prefetches
 -1     4926          547138       772689767       111948581       806591240 L1-dcache-store-misses
 -1     4926        47560876       772695752       111954912       806591240 L1-dcache-stores
 -1     4926          502372       772701640       111949105       806591240 L1-icache-load-misses
 -1     4926       155968327       772707431       111946224       806591240 L1-icache-loads
 -1     4926           23401       772713486       111935581       806591240 LLC-load-misses
 -1     4926          140911       772719401       111929258       806591240 LLC-loads
 -1     4926           31400       772725276       111933697       806591240 dTLB-load-misses
 -1     4926       117389498       772734419       111925006       806591240 dTLB-loads
 -1     4926            5475       772738132       111941103       806591240 dTLB-store-misses
 -1     4926        44236894       772741643       111931385       806591240 dTLB-stores
 -1     4926            2751       772745262       111934277       806591240 iTLB-load-misses
 -1     4926       467218882       772748707       111936929       806591240 iTLB-loads
 -1     4926        35782159       772752427       111919193       806591240 branch-load-misses
 -1     4926        57780817       772756239       111930477       806591240 branch-loads
 -1     4926               0       772759793       111931547       806591240 mem-loads
 -1     4926        16565076       772763391       111931944       806591240 stalled-cycles-backend
 -1     4926        59333778       772766933       111940258       806591240 stalled-cycles-frontend
 -1     4926        60997546       873515724       131370071       907508886 branches
 -1     4926          888509       873536222       133523082       907508886 branch-misses
 -1     4926          466403       873545936       137518294       907508886 cache-references
 -1     4926          140983       873556816       137938813       907508886 cache-misses
 -1     4926       284952369       873566145       134512831       907508886 cycles
 -1     4926       687640395       873574576       166498164       907508886 instructions
 -1     4926         5127817       873583076       164341875       907508886 L1-dcache-load-misses
 -1     4926       165921267       873591738       160357935       907508886 L1-dcache-loads
 -1     4926          586690       873599326       159907764       907508886 L1-dcache-prefetch-misses
 -1     4926          808272       873605432       159917026       907508886 L1-dcache-prefetches
 -1     4926          628266       873611263       127947927       907508886 L1-dcache-store-misses
 -1     4926        51547814       873617332       127954231       907508886 L1-dcache-stores
 -1     4926          512301       873623223       127948375       907508886 L1-icache-load-misses
 -1     4926       178741693       873629104       127945100       907508886 L1-icache-loads
